Country,Year,Value
China,2008,20694
China,2009,22297
China,2010,24525
China,2011,28718
China,2012,25308
China,2013,27898
China,2014,27122
China,2015,27924
China,2016,29077
China,2017,29277
China,2018,25712
China,2019,25464
China,2020,18798
"Hong Kong, China",2008,1806
"Hong Kong, China",2009,1561
"Hong Kong, China",2010,805
"Hong Kong, China",2011,806
"Hong Kong, China",2012,860
"Hong Kong, China",2013,1228
"Hong Kong, China",2014,1300
"Hong Kong, China",2015,1384
"Hong Kong, China",2016,1716
"Hong Kong, China",2017,1803
"Hong Kong, China",2018,1882
"Hong Kong, China",2019,1677
"Hong Kong, China",2020,1275
India,2008,22725
India,2009,25280
India,2010,23477
India,2011,21855
India,2012,27830
India,2013,38123
India,2014,39642
India,2015,34710
India,2016,38552
India,2017,40019
India,2018,33065
India,2019,32630
India,2020,24498
Nepal,2008,883
Nepal,2009,975
Nepal,2010,1262
Nepal,2011,2073
Nepal,2012,2507
Nepal,2013,4042
Nepal,2014,4351
Nepal,2015,4157
Nepal,2016,5060
Nepal,2017,4361
Nepal,2018,2994
Nepal,2019,3844
Nepal,2020,4681
New Zealand,2008,34494
New Zealand,2009,33034
New Zealand,2010,24447
New Zealand,2011,34567
New Zealand,2012,44311
New Zealand,2013,41230
New Zealand,2014,27274
New Zealand,2015,22432
New Zealand,2016,19661
New Zealand,2017,12552
New Zealand,2018,15247
New Zealand,2019,14150
New Zealand,2020,4718
Pakistan,2008,1881
Pakistan,2009,1972
Pakistan,2010,1799
Pakistan,2011,1845
Pakistan,2012,3891
Pakistan,2013,3612
Pakistan,2014,5669
Pakistan,2015,8019
Pakistan,2016,6958
Pakistan,2017,6819
Pakistan,2018,6286
Pakistan,2019,4651
Pakistan,2020,3814
Philippines,2008,7078
Philippines,2009,8904
Philippines,2010,10248
Philippines,2011,10651
Philippines,2012,12777
Philippines,2013,11032
Philippines,2014,10345
Philippines,2015,11942
Philippines,2016,11968
Philippines,2017,12145
Philippines,2018,10916
Philippines,2019,9184
Philippines,2020,8514
South Africa,2008,6936
South Africa,2009,11264
South Africa,2010,11098
South Africa,2011,8089
South Africa,2012,8033
South Africa,2013,5798
South Africa,2014,4883
South Africa,2015,4669
South Africa,2016,3975
South Africa,2017,4783
South Africa,2018,4289
South Africa,2019,4000
South Africa,2020,3819
United Kingdom,2008,31718
United Kingdom,2009,33287
United Kingdom,2010,26701
United Kingdom,2011,21476
United Kingdom,2012,27010
United Kingdom,2013,23149
United Kingdom,2014,23798
United Kingdom,2015,22187
United Kingdom,2016,18963
United Kingdom,2017,17646
United Kingdom,2018,14060
United Kingdom,2019,13325
United Kingdom,2020,10766
Viet Nam,2008,3043
Viet Nam,2009,3273
Viet Nam,2010,3844
Viet Nam,2011,4802
Viet Nam,2012,4804
Viet Nam,2013,5716
Viet Nam,2014,5237
Viet Nam,2015,5074
Viet Nam,2016,5377
Viet Nam,2017,5526
Viet Nam,2018,5220
Viet Nam,2019,5517
Viet Nam,2020,5101
